ID,Name,Discounted Price,Original Price,Discount(%),Rating,Shipping
0,Daraz Like New Laptops - Dell Chromebook 11 3120 -- Intel Celeron - 4GB Ram - 16GB SSD With Web Store - With Box/Bag,"11,999","20,000",40%,14,Free Shipping
1,"Daraz Like New Laptops - HP Elitebook 850 G6 Core i5 8th Gen, 16GB RAM, 256GB SSD, 15.6″ FHD IPS LED","99,999","105,000",5%,4,Free Shipping
2,Acer C720 ChromeBook Laptop - 4gb / 16gb - Long Battery Life,"15,500",0,0%,99,Free Shipping
3,Dell | Laptop 3180 | 128GB Storage | 4GB RAM | Dual-core 1.6GHz | Windows 10 | 6th Generation | 11.6″ Screen,"22,999","23,999",4%,21,Free Shipping
4,"Daraz Like New Laptops - Apple MacBook Air A1466 Early 2015 With 1.6GHz Intel Core i5 (13.3 inch, 4GB RAM, 128GB) Silver","59,999","80,000",25%,13,Free Shipping
5,Daraz Like New Laptops - Dell Chromebook 11 3180 - 4GB RAM - 16GB SSD,"11,999","21,999",45%,2,Free Shipping
6,"Dell Inspiron Chromebook 11 3100-11.6"" HD -Intel Celeron N4000-4GB - 32GB eMMC - Play Store - Chrome OS - Black","16,000","18,000",11%,26,Free Shipping
7,Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),"44,999","74,999",40%,1,No Free Shipping
8,"Daraz Like New Laptops - Dell Latitude 6430, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LAPTOP BAG","29,499","37,999",22%,38,Free Shipping
9,HP ELITEBOOK 840-G5 8TH GENERATION | INTEL CORE-I5 | 8250u PROCESSOR | 16GB RAM | 512GB SSD | FHD | 14.1’INCH DISPLAY | SILVER | WIN11 PRO | REGITERED (FREE LAPTOP BAG),"84,999","199,999",58%,3,No Free Shipping
10,Hp Elitebook 820 G4 - Core i5 7th Generation - 16GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),"59,999","79,999",25%,2,No Free Shipping
11,"Dell Latitude 6430, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LAPTOP BAG","28,999","39,999",28%,0,No Free Shipping
12,NO PHOTO,"46,999","90,000",48%,9,No Free Shipping
13,HP EliteBook 840 G3 - Core i7 6th Generation - 16GB RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"66,999","79,999",16%,3,No Free Shipping
14,"HP ProBook Core i7-7th Generation | 16GB RAM , 256GB M2 SSD Hard + 750GB HDD Hard Drive | HD DISPLAY | 5HOURS+ Battery Backup | FREE LAPTOP BAG","115,000","150,000",23%,3,No Free Shipping
15,"Chrome Laptops Chromebook p22t - 4GB RAM, 16GB ssd Storage, Chrome OS","10,499","22,500",53%,0,No Free Shipping
